"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"1","That's a lot of songs. Music will go on and on.

Two more days to go.

#CarryYourSound unveiling on 17th February. https://t.co/lcvskOw0GM",FALSE,120,NA,2020-02-15 09:30:00,FALSE,NA,"1228612412229570560",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","XiaomiIndia",12,FALSE,FALSE,NA,NA
"2","@SamuelSteveSte1 The update will be released soon, we'll keep you posted.",FALSE,2,"SamuelSteveSte1",2020-02-15 08:53:08,FALSE,"1228602611374231552","1228603134202667008","1215210504857116677","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","XiaomiIndia",1,FALSE,FALSE,NA,NA
"3","@srsantanu36 We hear you.",FALSE,1,"srsantanu36",2020-02-15 08:52:10,FALSE,"1228599349350809600","1228602890941419520","293360018","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","XiaomiIndia",1,FALSE,FALSE,NA,NA
"4","@chetu_Dhfmvp Our teams are working on it, stay tuned!",FALSE,0,"chetu_Dhfmvp",2020-02-15 08:48:58,FALSE,"1228599027882590209","1228602086159347712","2916771950","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","XiaomiIndia",1,FALSE,FALSE,NA,NA
"5","@justlalit You shall hear from us soon.",FALSE,1,"justlalit",2020-02-15 08:41:45,FALSE,"1228599558155862016","1228600270986207232","359205735","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","XiaomiIndia",1,FALSE,FALSE,NA,NA
"6","@_DG_bs We hear you. Our teams are working on releasing the update.",FALSE,3,"_DG_bs",2020-02-15 08:38:56,FALSE,"1228598448171208705","1228599563616841728","1075803605364604929","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","XiaomiIndia",1,FALSE,FALSE,NA,NA
"7","Capture your special moments with the stunning 32MP AI selfie camera on #MiA3.

The #48MPAndroidOne phone also come… https://t.co/EkCD6Takf8",FALSE,193,NA,2020-02-15 08:33:57,TRUE,NA,"1228598307863183362",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","XiaomiIndia",18,FALSE,FALSE,NA,NA
"8","Mi fans, here's the deal of the week. Mi Rechargeable LED Lamp is available at just <U+20B9>999 on https://t.co/D3b3QtmvaT… https://t.co/iiBQuk8R1E",FALSE,189,NA,2020-02-15 05:30:00,TRUE,NA,"1228552014012928000",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","XiaomiIndia",13,FALSE,FALSE,NA,NA
"9","More than just great sound. 
Unveiling on 17th February. #CarryYourSound https://t.co/HA4zFb0tFR",FALSE,605,NA,2020-02-14 06:51:18,FALSE,NA,"1228210085354033153",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","XiaomiIndia",45,FALSE,FALSE,NA,NA
"10","Perfect gifts for perfect one. Valentine's Day special offers are live on https://t.co/D3b3QtmvaT.

We've curated s… https://t.co/q9KFC4MKmy",FALSE,251,NA,2020-02-13 11:54:18,TRUE,NA,"1227923952770543619",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","XiaomiIndia",26,FALSE,FALSE,NA,NA
